MP2/cc-pVDZ            0.788054 1.423379
MP2/cc-pVTZ            0.783082 1.410018
MP2/cc-pVTQ            0.781588 1.408063

LPNO-CCSD/cc-pVDZ      0.789671 1.425018
LPNO-CCSD/cc-pVTZ      0.783882 1.410413
LPNO-CCSD/cc-pVQZ      0.781924 1.407530

DLPNO-CCSD(T)/cc-pVDZ  0.791964 1.428478
DLPNO-CCSD(T)/cc-pVTZ  0.786490 1.414200
DLPNO-CCSD(T)/cc-pVQZ  0.784797 1.412230
